knapPI_16_2000_1000_1
n 2000
c 9680
z 54945
time 0.00
1,403,94,1
2,886,506,0
3,814,416,0
4,1151,992,0
5,983,649,0
6,629,237,0
7,848,457,0
8,1074,815,0
9,839,446,0
10,819,422,0
11,1062,791,0
12,762,359,0
13,994,667,0
14,950,598,0
15,111,7,1
16,914,544,0
17,737,334,0
18,1049,766,0
19,1152,994,0
20,1110,893,0
21,973,633,0
22,474,131,0
23,824,428,0
24,1013,700,0
25,963,617,0
26,1101,874,0
27,1024,720,0
28,816,419,0
29,1063,794,0
30,575,196,0
31,1153,997,0
32,447,116,0
33,1117,908,0
34,910,539,0
35,1017,707,0
36,931,569,0
37,909,537,0
38,1126,931,0
39,1027,726,0
40,871,487,0
41,1052,772,0
42,891,513,0
43,375,81,1
44,1131,943,0
45,318,58,1
46,705,303,0
47,1048,764,0
48,908,536,0
49,1026,724,0
50,1061,789,0
51,865,479,0
52,493,142,0
53,742,339,0
54,978,641,0
55,575,196,0
56,877,494,0
57,339,66,1
58,1078,824,0
59,592,208,0
60,1019,711,0
61,1066,800,0
62,717,314,0
63,690,289,0
64,800,401,0
65,855,466,0
66,1006,689,0
67,1082,833,0
68,614,225,0
69,638,244,0
70,1090,849,0
71,441,113,0
72,780,379,0
73,764,361,0
74,337,65,1
75,871,486,0
76,1005,686,0
77,687,286,0
78,1108,889,0
79,205,24,1
80,875,491,0
81,1109,891,0
82,395,90,1
83,554,181,0
84,600,214,0
85,173,17,1
86,860,472,0
87,815,418,0
88,816,419,0
89,759,356,0
90,1002,682,0
91,708,306,0
92,582,201,0
93,786,385,0
94,1135,952,0
95,881,500,0
96,572,194,0
97,1033,737,0
98,727,324,0
99,1151,992,0
100,613,224,0
101,657,260,0
102,410,97,0
103,594,210,0
104,983,649,0
105,1121,919,0
106,332,63,1
107,1138,958,0
108,1068,804,0
109,895,518,0
110,824,428,0
111,909,537,0
112,749,346,0
113,511,153,0
114,1143,971,0
115,991,662,0
116,577,197,0
117,397,91,1
118,903,529,0
119,465,126,0
120,1039,747,0
121,857,469,0
122,1051,770,0
123,1128,934,0
124,1026,723,0
125,1111,895,0
126,930,568,0
127,540,172,0
128,1138,958,0
129,784,383,0
130,710,308,0
131,1142,970,0
132,940,583,0
133,290,48,1
134,1126,930,0
135,931,569,0
136,73,3,1
137,188,20,1
138,958,609,0
139,1107,887,0
140,1078,825,0
141,1126,930,0
142,1115,904,0
143,634,241,0
144,780,379,0
145,778,376,0
146,1139,962,0
147,1108,889,0
148,836,443,0
149,602,216,0
150,741,338,0
151,522,160,0
152,805,406,0
153,520,159,0
154,233,31,1
155,586,204,0
156,817,420,0
157,511,153,0
158,821,425,0
159,734,331,0
160,928,565,0
161,1085,838,0
162,126,9,1
163,1121,918,0
164,906,533,0
165,623,232,0
166,1137,957,0
167,946,591,0
168,936,576,0
169,1038,746,0
170,779,377,0
171,1094,858,0
172,386,86,1
173,829,434,0
174,923,558,0
175,679,279,0
176,1086,840,0
177,1032,735,0
178,934,574,0
179,465,126,0
180,1118,912,0
181,1034,739,0
182,1077,821,0
183,968,625,0
184,1120,917,0
185,582,201,0
186,1151,993,0
187,504,149,0
188,302,52,1
189,1045,759,0
190,665,267,0
191,652,256,0
192,1058,783,0
193,449,117,0
194,893,516,0
195,552,180,0
196,210,25,1
